ax,ay,az,gx,gy,gz
-0.03,0.01,1.01,-0.56,0.59,0.35
-0.02,0.01,1.01,-0.69,0.56,0.37
-0.02,0.0,1.01,-0.86,0.41,0.41
-0.02,0.0,1.01,-0.86,0.41,0.41
-0.02,-0.0,1.02,-1.02,0.2,0.49
-0.02,-0.0,1.01,-1.13,-0.05,0.59
-0.02,-0.01,1.01,-1.15,-0.31,0.69
-0.01,-0.01,1.0,-1.07,-0.56,0.8
-0.0,-0.02,1.0,-0.89,-0.77,0.9
-0.0,-0.02,1.0,-0.89,-0.77,0.9
-0.0,-0.02,1.0,-0.56,-0.9,1.0
-0.0,-0.02,1.0,-0.15,-1.01,1.07
-0.01,-0.01,1.0,0.29,-1.01,1.07
-0.01,-0.01,1.0,0.69,-0.97,1.02
-0.01,-0.0,1.0,0.96,-0.88,0.95
-0.01,-0.0,1.0,0.96,-0.88,0.95
-0.01,-0.0,1.0,1.1,-0.8,0.87
-0.01,0.0,1.0,1.1,-0.73,0.79
-0.01,0.0,1.0,0.97,-0.71,0.72
-0.01,0.01,1.0,0.75,-0.76,0.64
-0.02,0.0,1.0,0.48,-0.81,0.54
-0.02,0.0,1.0,0.48,-0.81,0.54
-0.01,-0.0,1.0,0.2,-0.86,0.45
-0.01,-0.01,0.99,-0.0,-0.86,0.4
-0.01,-0.01,0.99,-0.09,-0.85,0.41
-0.02,-0.01,0.99,-0.03,-0.84,0.44
-0.02,-0.01,0.99,0.19,-0.86,0.45
-0.02,-0.01,0.99,0.19,-0.86,0.45
-0.02,-0.0,0.99,0.53,-0.86,0.45
-0.02,0.0,1.0,0.88,-0.89,0.46
-0.02,0.01,1.0,1.2,-0.91,0.5
-0.02,0.01,1.0,1.36,-0.95,0.56
-0.02,0.01,1.0,1.4,-0.99,0.61
-0.02,0.01,1.0,1.4,-0.99,0.61
-0.02,0.01,1.0,1.33,-1.06,0.71
-0.01,0.01,1.0,1.17,-1.14,0.77
-0.0,0.0,0.99,0.96,-1.16,0.87
-0.0,-0.01,0.99,0.8,-1.08,0.96
-0.0,-0.01,0.99,0.75,-0.93,1.06
-0.0,-0.01,0.99,0.75,-0.93,1.06
-0.0,-0.01,0.98,0.83,-0.73,1.16
-0.01,-0.01,0.99,0.98,-0.53,1.22
-0.01,-0.01,0.99,1.2,-0.29,1.26
-0.01,-0.01,0.99,1.43,-0.06,1.25
-0.01,-0.0,1.0,1.62,0.18,1.2
-0.01,-0.0,1.0,1.62,0.18,1.2
-0.01,0.0,1.0,1.7,0.4,1.13
-0.01,0.0,1.0,1.61,0.56,1.08
-0.01,0.0,1.0,1.38,0.69,1.08
-0.01,0.0,1.0,1.03,0.73,1.1
-0.01,-0.0,1.01,0.61,0.72,1.13
-0.01,-0.0,1.01,0.61,0.72,1.13
-0.02,-0.01,1.0,0.16,0.68,1.18
-0.02,-0.01,1.0,-0.21,0.59,1.22
-0.02,-0.01,1.01,-0.48,0.46,1.17
-0.02,-0.01,1.01,-0.69,0.32,1.09
-0.01,-0.01,1.01,-0.86,0.17,1.05
-0.01,-0.01,1.01,-0.86,0.17,1.05
-0.0,-0.01,1.01,-1.0,0.06,1.0
-0.01,-0.02,1.01,-1.12,0.04,0.94
-0.01,-0.02,1.01,-1.19,0.08,0.95
-0.01,-0.02,1.0,-1.17,0.17,0.98
-0.01,-0.03,1.0,-1.04,0.3,0.94
-0.01,-0.03,1.0,-1.04,0.3,0.94
-0.02,-0.02,1.01,-0.82,0.47,0.89
-0.02,-0.02,1.01,-0.54,0.59,0.8
-0.02,-0.02,1.01,-0.28,0.61,0.71
-0.02,-0.01,1.01,-0.04,0.56,0.65
-0.03,-0.01,1.01,0.17,0.37,0.61
-0.03,-0.01,1.01,0.17,0.37,0.61
-0.03,-0.01,1.01,0.34,0.05,0.56
-0.03,-0.01,1.01,0.46,-0.34,0.51
-0.03,-0.01,1.02,0.5,-0.79,0.4
-0.02,-0.01,1.02,0.49,-1.22,0.29
-0.02,-0.01,1.01,0.43,-1.61,0.2
-0.02,-0.01,1.01,0.43,-1.61,0.2
-0.02,-0.01,1.01,0.32,-1.95,0.13
-0.02,-0.02,1.0,0.14,-2.33,0.07
-0.02,-0.02,0.99,-0.03,-2.69,0.03
-0.02,-0.02,0.99,-0.16,-3.04,0.01
-0.02,-0.02,0.98,-0.18,-3.4,-0.02
-0.02,-0.02,0.98,-0.18,-3.4,-0.02
-0.01,-0.02,0.98,-0.09,-3.71,-0.1
-0.01,-0.01,0.97,0.06,-3.97,-0.19
0.0,-0.0,0.97,0.15,-4.17,-0.28
0.01,-0.0,0.97,0.19,-4.27,-0.37
0.01,0.0,0.97,0.14,-4.17,-0.48
0.01,0.0,0.97,0.14,-4.17,-0.48
0.01,0.0,0.97,-0.0,-3.88,-0.59
0.01,0.0,0.97,-0.18,-3.45,-0.68
0.01,0.0,0.98,-0.45,-2.89,-0.74
0.0,-0.0,0.98,-0.74,-2.28,-0.81
-0.0,-0.01,0.98,-0.98,-1.73,-0.85
-0.0,-0.01,0.98,-0.98,-1.73,-0.85
-0.01,-0.0,0.99,-1.11,-1.27,-0.93
-0.01,0.01,1.0,-1.17,-0.91,-1.03
-0.0,0.01,1.0,-1.24,-0.66,-1.13
0.0,0.01,1.01,-1.42,-0.41,-1.2
-0.0,0.01,1.02,-1.66,-0.07,-1.19
-0.0,0.01,1.02,-1.66,-0.07,-1.19
-0.01,0.01,1.02,-1.95,0.33,-1.13
-0.01,0.01,1.02,-2.24,0.79,-0.99
-0.01,0.0,1.02,-2.47,1.25,-0.84
-0.02,-0.01,1.02,-2.59,1.65,-0.68
-0.02,-0.01,1.02,-2.56,1.88,-0.47
-0.02,-0.01,1.02,-2.56,1.88,-0.47
-0.02,-0.02,1.02,-2.3,2.04,-0.26
-0.03,-0.02,1.03,-1.86,2.06,-0.07
-0.03,-0.01,1.03,-1.36,1.92,0.04
-0.03,-0.01,1.03,-0.86,1.61,0.13
-0.03,-0.01,1.02,-0.44,1.09,0.17
-0.03,-0.01,1.02,-0.44,1.09,0.17
-0.03,-0.0,1.02,-0.15,0.43,0.18
-0.03,-0.0,1.02,-0.0,-0.31,0.14
-0.02,0.0,1.02,0.02,-1.11,0.08
-0.02,0.0,1.01,-0.11,-1.93,-0.02
-0.02,0.0,1.0,-0.4,-2.78,-0.17
-0.02,0.0,1.0,-0.4,-2.78,-0.17
-0.01,0.0,1.0,-0.8,-3.59,-0.32
-0.0,-0.0,0.99,-1.24,-4.27,-0.46
-0.0,-0.01,0.98,-1.63,-4.75,-0.64
0.0,-0.01,0.97,-1.92,-5.07,-0.82
0.01,-0.02,0.96,-2.08,-5.18,-0.97
0.01,-0.02,0.96,-2.08,-5.18,-0.97
0.01,-0.02,0.96,-2.01,-5.04,-1.07
0.01,-0.03,0.95,-1.7,-4.74,-1.09
0.01,-0.02,0.95,-1.13,-4.27,-1.07
0.01,-0.02,0.95,-0.31,-3.73,-1.01
0.01,-0.02,0.95,0.69,-3.15,-0.96
0.01,-0.02,0.95,0.69,-3.15,-0.96
0.01,-0.01,0.96,1.77,-2.56,-0.87
0.0,0.0,0.96,2.81,-1.98,-0.81
-0.0,0.01,0.97,3.75,-1.4,-0.74
-0.01,0.02,0.98,4.44,-0.9,-0.71
-0.01,0.03,0.99,4.8,-0.45,-0.74
-0.01,0.03,0.99,4.8,-0.45,-0.74
-0.02,0.04,0.99,4.74,-0.03,-0.81
-0.01,0.04,1.0,4.3,0.31,-0.91
-0.01,0.04,1.0,3.54,0.63,-0.99
-0.01,0.03,1.0,2.54,0.89,-0.99
-0.01,0.02,0.99,1.44,1.15,-0.94
-0.01,0.02,0.99,1.44,1.15,-0.94
-0.02,0.01,0.99,0.43,1.37,-0.81
-0.01,-0.01,0.99,-0.34,1.53,-0.61
-0.01,-0.02,0.99,-0.78,1.65,-0.35
-0.01,-0.02,0.99,-0.81,1.75,-0.03
-0.01,-0.02,0.99,-0.47,1.84,0.35
-0.01,-0.02,0.99,-0.47,1.84,0.35
-0.01,-0.02,1.0,0.15,1.92,0.71
-0.01,-0.01,1.0,0.88,1.98,1.03
-0.01,-0.01,1.01,1.61,2.0,1.35
-0.01,0.0,1.01,2.2,1.99,1.61
-0.01,0.01,1.01,2.58,1.91,1.82
-0.01,0.01,1.01,2.58,1.91,1.82
-0.01,0.01,1.02,2.65,1.78,1.97
-0.01,0.01,1.02,2.4,1.59,2.04
-0.01,0.0,1.02,1.93,1.4,2.01
-0.01,-0.0,1.01,1.3,1.22,1.91
-0.0,-0.01,1.01,0.63,1.05,1.79
-0.0,-0.01,1.01,0.63,1.05,1.79
-0.01,-0.02,1.0,0.04,0.93,1.63
