ax,ay,az,gx,gy,gz
0.07,0.2,0.99,3.27,1.47,-1.16
0.07,0.2,1.0,3.43,1.62,-1.14
0.07,0.2,1.0,3.4,1.73,-1.12
0.07,0.2,1.0,3.24,1.76,-1.12
0.07,0.2,1.0,3.24,1.76,-1.12
0.07,0.2,1.0,2.97,1.78,-1.16
0.07,0.2,1.0,2.58,1.77,-1.17
0.07,0.2,1.0,2.12,1.79,-1.19
0.07,0.2,1.0,1.63,1.84,-1.24
0.07,0.19,1.0,1.18,1.92,-1.28
0.07,0.19,1.0,1.18,1.92,-1.28
0.08,0.19,1.0,0.84,2.07,-1.32
0.08,0.19,1.0,0.6,2.26,-1.35
0.08,0.18,0.99,0.49,2.42,-1.33
0.08,0.18,0.99,0.5,2.57,-1.27
0.07,0.18,0.99,0.63,2.72,-1.21
0.07,0.18,0.99,0.63,2.72,-1.21
0.07,0.18,0.99,0.87,2.82,-1.17
0.07,0.19,1.0,1.18,2.92,-1.11
0.06,0.19,1.0,1.43,2.96,-1.01
0.06,0.2,1.01,1.63,2.92,-0.93
0.06,0.2,1.01,1.69,2.82,-0.85
0.06,0.2,1.01,1.69,2.82,-0.85
0.06,0.2,1.0,1.64,2.64,-0.79
0.06,0.2,1.0,1.53,2.44,-0.75
0.06,0.19,1.0,1.37,2.18,-0.71
0.06,0.19,1.0,1.21,1.89,-0.67
0.06,0.19,1.01,1.08,1.56,-0.64
0.06,0.19,1.01,1.08,1.56,-0.64
0.07,0.19,1.01,0.94,1.27,-0.6
0.07,0.19,1.01,0.85,1.05,-0.56
0.07,0.19,1.0,0.8,0.87,-0.54
0.07,0.18,1.0,0.81,0.76,-0.56
0.07,0.18,1.0,0.9,0.76,-0.57
0.07,0.18,1.0,0.9,0.76,-0.57
0.08,0.18,1.0,1.09,0.86,-0.58
0.07,0.18,1.0,1.31,0.97,-0.57
0.07,0.19,1.0,1.53,1.09,-0.56
0.06,0.19,1.0,1.72,1.18,-0.58
0.06,0.2,1.0,1.82,1.17,-0.6
0.06,0.2,1.0,1.82,1.17,-0.6
0.06,0.2,1.01,1.76,1.07,-0.66
0.07,0.2,1.0,1.52,0.89,-0.68
0.07,0.2,1.0,1.2,0.68,-0.7
0.07,0.19,1.0,0.85,0.47,-0.71
0.07,0.18,0.99,0.53,0.32,-0.72
0.07,0.18,0.99,0.53,0.32,-0.72
0.07,0.18,0.99,0.3,0.17,-0.73
0.07,0.17,0.99,0.22,0.05,-0.8
0.08,0.17,0.99,0.32,0.01,-0.88
0.08,0.17,0.99,0.6,0.04,-0.97
0.08,0.18,0.99,1.0,0.17,-1.04
0.08,0.18,0.99,1.0,0.17,-1.04
0.08,0.18,0.99,1.46,0.38,-1.11
0.07,0.19,0.99,1.89,0.62,-1.17
0.07,0.19,0.99,2.25,0.86,-1.22
0.07,0.2,1.0,2.46,1.08,-1.28
0.07,0.2,1.0,2.52,1.28,-1.33
0.07,0.2,1.0,2.52,1.28,-1.33
0.07,0.2,1.0,2.43,1.47,-1.34
0.07,0.2,1.0,2.24,1.61,-1.38
0.07,0.19,0.99,2.01,1.72,-1.41
0.07,0.19,0.99,1.81,1.76,-1.42
0.07,0.19,0.99,1.69,1.73,-1.39
0.07,0.19,0.99,1.69,1.73,-1.39
0.07,0.19,0.99,1.63,1.61,-1.31
0.07,0.19,0.99,1.62,1.51,-1.23
0.07,0.19,0.99,1.67,1.43,-1.17
0.07,0.2,0.99,1.79,1.44,-1.15
0.08,0.2,1.0,1.96,1.54,-1.15
0.08,0.2,1.0,1.96,1.54,-1.15
0.08,0.21,1.0,2.11,1.74,-1.11
0.08,0.21,1.0,2.21,2.04,-1.04
0.08,0.21,1.0,2.17,2.36,-0.95
0.07,0.2,1.0,2.04,2.66,-0.81
0.07,0.2,1.0,1.92,2.9,-0.66
0.07,0.2,1.0,1.92,2.9,-0.66
0.07,0.2,1.0,1.87,3.04,-0.51
0.07,0.2,1.0,1.9,3.04,-0.38
0.07,0.2,1.0,1.95,2.97,-0.27
0.06,0.2,1.0,2.01,2.88,-0.2
0.07,0.2,1.0,2.06,2.75,-0.11
0.07,0.2,1.0,2.06,2.75,-0.11
0.06,0.19,1.0,2.09,2.6,-0.02
0.06,0.2,1.01,2.05,2.41,0.07
0.06,0.19,1.01,2.0,2.18,0.19
0.06,0.19,1.01,1.97,1.92,0.31
0.07,0.19,1.01,1.97,1.69,0.39
0.07,0.19,1.01,1.97,1.69,0.39
0.07,0.18,1.0,2.05,1.52,0.43
0.07,0.17,1.0,2.24,1.41,0.44
0.07,0.17,1.0,2.63,1.39,0.47
0.07,0.18,1.0,3.17,1.44,0.47
0.07,0.18,1.0,3.74,1.5,0.43
0.07,0.18,1.0,3.74,1.5,0.43
0.06,0.19,1.0,4.2,1.56,0.35
0.06,0.2,1.0,4.53,1.61,0.24
0.06,0.2,1.0,4.65,1.63,0.04
0.06,0.2,1.0,4.5,1.6,-0.17
0.07,0.21,1.0,4.12,1.51,-0.37
0.07,0.21,1.0,4.12,1.51,-0.37
0.07,0.21,1.0,3.52,1.41,-0.52
0.07,0.2,1.0,2.74,1.32,-0.61
0.07,0.2,0.99,1.91,1.21,-0.72
0.07,0.19,0.99,1.17,1.17,-0.85
0.07,0.18,0.99,0.63,1.15,-0.98
0.07,0.18,0.99,0.63,1.15,-0.98
0.08,0.18,0.99,0.37,1.18,-1.12
0.08,0.18,0.98,0.36,1.29,-1.25
0.08,0.18,0.98,0.62,1.42,-1.38
0.07,0.19,0.99,1.05,1.57,-1.49
0.07,0.19,0.99,1.56,1.76,-1.59
0.07,0.19,0.99,1.56,1.76,-1.59
0.07,0.2,1.0,2.11,1.97,-1.65
0.07,0.21,1.0,2.64,2.2,-1.67
0.07,0.21,1.0,3.07,2.43,-1.65
0.06,0.22,1.01,3.3,2.59,-1.59
0.06,0.22,1.0,3.35,2.63,-1.49
0.06,0.22,1.0,3.35,2.63,-1.49
0.06,0.22,1.0,3.23,2.57,-1.36
0.06,0.21,1.0,2.98,2.42,-1.22
0.06,0.21,1.0,2.67,2.19,-1.08
0.06,0.21,1.0,2.34,1.93,-0.97
0.07,0.2,1.0,2.01,1.72,-0.88
0.07,0.2,1.0,2.01,1.72,-0.88
0.07,0.19,1.0,1.68,1.52,-0.81
0.08,0.19,0.99,1.42,1.34,-0.73
0.08,0.19,0.99,1.34,1.29,-0.69
0.08,0.18,0.99,1.5,1.45,-0.67
0.08,0.18,0.99,1.82,1.72,-0.66
0.08,0.18,0.99,1.82,1.72,-0.66
0.07,0.19,0.99,2.17,2.01,-0.69
0.07,0.19,0.99,2.55,2.29,-0.67
0.06,0.19,0.99,2.88,2.5,-0.63
0.06,0.2,0.99,3.21,2.6,-0.57
0.07,0.19,1.0,3.51,2.6,-0.49
0.07,0.19,1.0,3.51,2.6,-0.49
0.07,0.19,1.0,3.78,2.58,-0.37
0.06,0.2,1.0,4.05,2.56,-0.24
0.06,0.21,1.0,4.23,2.53,-0.17
0.06,0.21,1.01,4.22,2.43,-0.16
0.06,0.21,1.01,3.95,2.3,-0.15
0.06,0.21,1.01,3.95,2.3,-0.15
0.06,0.21,1.0,3.51,2.19,-0.16
0.07,0.2,1.0,3.03,2.08,-0.17
0.07,0.19,1.0,2.62,2.01,-0.18
0.07,0.19,1.0,2.32,1.98,-0.23
0.07,0.19,1.0,2.14,2.01,-0.31
0.07,0.19,1.0,2.14,2.01,-0.31
0.07,0.19,1.0,2.08,2.03,-0.4
0.07,0.19,0.99,2.16,2.09,-0.52
0.07,0.19,0.99,2.37,2.21,-0.66
0.07,0.2,1.0,2.71,2.36,-0.82
0.06,0.2,1.0,3.09,2.5,-0.96
0.06,0.2,1.0,3.09,2.5,-0.96
0.06,0.21,1.0,3.38,2.63,-1.06
0.06,0.22,1.0,3.53,2.73,-1.11
0.06,0.22,1.0,3.55,2.77,-1.14
0.06,0.23,1.0,3.4,2.7,-1.17
0.05,0.23,1.01,3.06,2.52,-1.11
0.05,0.23,1.01,3.06,2.52,-1.11
0.06,0.22,1.0,2.56,2.24,-1.02
0.06,0.22,1.0,1.95,1.89,-0.88
0.07,0.21,1.0,1.35,1.56,-0.75
0.07,0.2,1.0,0.86,1.27,-0.62
0.07,0.2,1.0,0.57,1.04,-0.5
0.07,0.2,1.0,0.57,1.04,-0.5
0.07,0.2,0.99,0.42,0.89,-0.46
0.07,0.19,0.99,0.45,0.85,-0.48
0.07,0.19,1.0,0.59,0.85,-0.51
0.07,0.2,0.99,0.76,0.92,-0.56
0.07,0.2,1.0,0.92,1.1,-0.61
0.07,0.2,1.0,0.92,1.1,-0.61
0.07,0.2,1.0,1.05,1.31,-0.65
0.07,0.2,0.99,1.11,1.56,-0.72
0.06,0.2,0.99,1.11,1.8,-0.8
0.06,0.19,0.99,1.1,2.01,-0.87
0.06,0.19,0.99,1.1,2.23,-0.94
0.06,0.19,0.99,1.1,2.23,-0.94
0.06,0.2,0.99,1.11,2.41,-1.02
0.06,0.2,1.0,1.08,2.58,-1.11
0.06,0.2,1.0,0.97,2.66,-1.23
